sample,generation_time_sec,num_nodes,num_edges,path_length,linearity,leniency,progression_complexity,topology_complexity,cycle_density,shortcut_density,gate_depth_ratio,path_depth_ratio,directionality_gap,constraint_valid,repair_applied,total_repairs,lock_key_repairs,progression_repairs,wave3_repairs,rule_applied,rule_skipped,puzzle_count,item_count,switch_count,stair_count,gate_variety,has_switch_feature,has_stair_feature,has_shortcut,has_cycle,has_wave3_repair
48,3.260002851486206,13,25,5,0.46153846153846156,0.5,0.4900533333333334,0.3413128205128205,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,12,2,2,2,0,0,0.4,0.0,0.0,0.0,1.0,0.0
49,2.601179361343384,10,18,4,0.5,0.5,0.5061222222222223,0.4194444444444445,0.4,0.0,0.25,0.4444444444444444,0.0,1.0,0.0,0,0,0,0,12,4,1,3,1,0,0.6,1.0,0.0,0.0,1.0,0.0
50,2.4126925468444824,10,16,4,0.5,1.0,0.4775805555555556,0.27987500000000004,0.2,0.0,0.25,0.4444444444444444,0.0,1.0,0.0,0,0,0,0,10,2,1,1,1,0,0.4,1.0,0.0,0.0,1.0,0.0
51,3.603260040283203,14,28,6,0.5,1.0,0.492170695970696,0.3101428571428572,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,12,5,3,5,0,2,0.4,0.0,1.0,0.0,1.0,0.0
52,3.3533945083618164,14,27,6,0.5,1.0,0.2997659340659341,0.33043386243386247,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,11,3,2,3,0,2,0.4,0.0,1.0,0.0,1.0,0.0
53,3.786329507827759,15,29,6,0.4666666666666667,1.0,0.3388604269293925,0.2904696223316913,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,14,4,3,1,0,0,0.2,0.0,0.0,0.0,1.0,0.0
54,3.695810556411743,15,29,6,0.4666666666666667,1.0,0.4864604269293925,0.2904696223316913,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,13,1,4,4,0,0,0.2,0.0,0.0,0.0,1.0,0.0
55,3.5823001861572266,14,28,6,0.5,0.5,0.496670695970696,0.3758571428571429,0.2857142857142857,0.0,0.16666666666666666,0.46153846153846156,0.0,1.0,0.0,0,0,0,0,13,1,5,2,0,2,0.4,0.0,1.0,0.0,1.0,0.0
56,3.8279097080230713,15,29,6,0.4666666666666667,1.0,0.34183973727422007,0.3407224958949097,0.2857142857142857,0.0,0.16666666666666666,0.42857142857142855,0.0,1.0,0.0,0,0,0,0,11,5,3,1,0,2,0.4,0.0,1.0,0.0,1.0,0.0
57,3.5595664978027344,13,27,5,0.46153846153846156,1.0,0.48194871794871796,0.307977207977208,0.3333333333333333,0.0,0.2,0.4166666666666667,0.0,1.0,0.0,0,0,0,0,12,5,4,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
