method,seed,room_count,target_curve_len,generation_time_sec,eval_budget,evaluations_used,fitness,feasible_search,feasible_operational,constraint_violation,overall_completeness,constraint_valid,linearity,leniency,progression_complexity,topology_complexity,key_gate_count,key_before_lock_rate,switch_gate_count,switch_before_gate_rate,battery_gate_count,battery_satisfaction_rate,path_length,num_nodes,num_edges,path_redundancy,articulation_count,articulation_ratio,branch_count,branch_utility_rate,secret_component_count,secret_content_discoverability_rate,repair_applied,total_repairs,generation_constraint_rejections,candidate_repairs_applied,novelty_vs_reference,graph_edit_distance
RANDOM,93,30,30,7.854493618011475,512,512,0.1855724594783088,0.0,1.0,1.634161877673781,1.0,1.0,0.26666666666666666,1.0,0.47859413919413923,0.30105494505494507,2.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,26.0,0.0,5.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.03344799630232915,0.07047619047619047
RANDOM,94,27,27,7.867077589035034,512,512,0.18324037651323438,0.0,1.0,1.7760028780402832,1.0,1.0,0.5,1.0,0.49193809523809523,0.36871428571428577,2.0,1.0,0.0,1.0,0.0,1.0,3.0,8.0,14.0,0.0,3.0,0.375,1.0,1.0,0.0,1.0,0.0,0.0,13.0,0.0,0.03595991057275631,0.24350267379679144
RANDOM,95,26,26,7.453257322311401,512,512,0.20662051299291506,0.0,0.0,1.6254252417373087,0.75,1.0,0.26666666666666666,0.5,0.4780095238095239,0.2940190476190477,2.0,1.0,0.0,1.0,0.0,1.0,3.0,15.0,25.0,0.0,6.0,0.4,1.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.07033649939575852,0.08214285714285713
RANDOM,96,27,27,7.6668407917022705,512,512,0.19344130146516778,0.0,1.0,1.699627445384694,1.0,1.0,0.3076923076923077,0.5,0.48840512820512827,0.34684615384615386,2.0,1.0,0.0,1.0,0.0,1.0,3.0,13.0,24.0,0.0,4.0,0.3076923076923077,1.0,1.0,1.0,1.0,0.0,0.0,11.0,0.0,0.04800315817436154,0.14764957264957262
RANDOM,97,33,33,7.706027984619141,512,512,0.1827805369845272,0.0,1.0,1.7528753986127763,1.0,1.0,0.3333333333333333,1.0,0.4845030303030303,0.3313333333333333,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,22.0,0.0,3.0,0.25,1.0,1.0,0.0,1.0,0.0,0.0,11.0,0.0,0.01457877875994531,0.09456327985739751
RANDOM,98,32,32,7.6054158210754395,512,512,0.1835515252323923,0.0,1.0,1.5919899406325069,1.0,1.0,0.2857142857142857,0.5,0.4854482051282052,0.3614857142857143,2.0,1.0,0.0,1.0,0.0,1.0,3.0,14.0,25.0,0.0,5.0,0.35714285714285715,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.05768807460236117,0.1088095238095238
RANDOM,99,32,32,8.03784465789795,512,512,0.198673161551202,0.0,0.0,1.1836491934406121,0.75,1.0,0.125,0.6666666666666666,0.4665934705715903,0.35107894736842105,3.0,1.0,1.0,1.0,0.0,1.0,3.0,32.0,57.0,0.3333333333333333,9.0,0.28125,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11597586925605885,0.05248940677966102
RANDOM,100,32,32,7.978427171707153,512,512,0.19535593283840935,0.0,1.0,1.6979551014711434,1.0,1.0,0.3333333333333333,1.0,0.4806848484848485,0.3099047619047619,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,21.0,0.0,5.0,0.4166666666666667,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.004205652826879155,0.07499999999999998
RANDOM,101,30,30,7.815279960632324,512,512,0.18767861722729104,0.0,0.0,1.7342512430291335,0.75,1.0,0.3333333333333333,1.0,0.48873221690590113,0.2916491228070176,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,19.0,0.0,5.0,0.4166666666666667,1.0,1.0,1.0,1.0,0.0,0.0,10.0,0.0,0.005769928756326233,0.07714912280701754
RANDOM,102,31,31,8.081554889678955,512,512,0.1774881826639184,0.0,1.0,1.7528753986127763,1.0,1.0,0.3333333333333333,1.0,0.4760030303030303,0.334060606060606,2.0,1.0,0.0,1.0,0.0,1.0,3.0,12.0,22.0,0.0,3.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.016435777569395772,0.08896103896103896
